"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","196","userSeesWaysToTradeBanner()","","Tue Mar 31 13:00:20 UTC 2026","broken","Tue Mar 31 13:00:20 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesWaysToTradeBanner"
"","191","SeesCreateAccountBtnInWebPlatformWorks()","","Tue Mar 31 13:00:21 UTC 2026","broken","Tue Mar 31 13:00:21 UTC 2026","","ui.UITradingTest","ui.UITradingTest","SeesCreateAccountBtnInWebPlatformWorks"
"","4102","createAccountBtnOnWaysTradeBannerWorks()","","Tue Mar 31 13:00:15 UTC 2026","broken","Tue Mar 31 13:00:19 UTC 2026","","ui.UITradingTest","ui.UITradingTest","createAccountBtnOnWaysTradeBannerWorks"
"","197","userSeesLearnMoreLinkOFWebPlatformMenuItem()","","Tue Mar 31 13:00:20 UTC 2026","broken","Tue Mar 31 13:00:20 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesLearnMoreLinkOFWebPlatformMenuItem"
"","192","learnMoreLinkOFWebPlatformMenuItemWorks()","","Tue Mar 31 13:00:21 UTC 2026","broken","Tue Mar 31 13:00:21 UTC 2026","","ui.UITradingTest","ui.UITradingTest","learnMoreLinkOFWebPlatformMenuItemWorks"
"","192","userSeesCreateAccountBtnInWebPlatform()","","Tue Mar 31 13:00:21 UTC 2026","broken","Tue Mar 31 13:00:22 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesCreateAccountBtnInWebPlatform"
"","195","userSeesQrCodeOnMobileAppItem()","","Tue Mar 31 13:00:20 UTC 2026","broken","Tue Mar 31 13:00:21 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesQrCodeOnMobileAppItem"
"","192","userSeesWebPlatformMenuItem()","","Tue Mar 31 13:00:21 UTC 2026","broken","Tue Mar 31 13:00:21 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesWebPlatformMenuItem"
"","213","userCanLoginFromHomePage()","","Tue Mar 31 13:00:19 UTC 2026","broken","Tue Mar 31 13:00:19 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userCanLoginFromHomePage"
"","193","userSeesCreateAccountBtnOnWaysTradeBanner()","","Tue Mar 31 13:00:22 UTC 2026","broken","Tue Mar 31 13:00:22 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesCreateAccountBtnOnWaysTradeBanner"
"","252","userCanOpenTradingPage()","","Tue Mar 31 13:00:20 UTC 2026","broken","Tue Mar 31 13:00:20 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userCanOpenTradingPage"
"","194","userSeesMobileAppMenuItem()","","Tue Mar 31 13:00:20 UTC 2026","broken","Tue Mar 31 13:00:20 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesMobileAppMenuItem"
"","197","tryDemoBtnWorks()","","Tue Mar 31 13:00:19 UTC 2026","broken","Tue Mar 31 13:00:20 UTC 2026","","ui.UITradingTest","ui.UITradingTest","tryDemoBtnWorks"
"","2360","validUserCanLoginTest()","","Tue Mar 31 13:00:13 UTC 2026","failed","Tue Mar 31 13:00:15 UTC 2026","","rest.ApiLoginTest","rest.ApiLoginTest","validUserCanLoginTest"
"","195","userSeesTryDemoAccountBtn()","","Tue Mar 31 13:00:21 UTC 2026","broken","Tue Mar 31 13:00:21 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesTryDemoAccountBtn"
