"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","204","userCanLoginFromHomePage()","","Tue Mar 31 14:29:07 UTC 2026","broken","Tue Mar 31 14:29:07 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userCanLoginFromHomePage"
"","199","userCanOpenTradingPage()","","Tue Mar 31 14:29:08 UTC 2026","broken","Tue Mar 31 14:29:08 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userCanOpenTradingPage"
"","197","userSeesQrCodeOnMobileAppItem()","","Tue Mar 31 14:29:08 UTC 2026","broken","Tue Mar 31 14:29:08 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesQrCodeOnMobileAppItem"
"","196","userSeesMobileAppMenuItem()","","Tue Mar 31 14:29:08 UTC 2026","broken","Tue Mar 31 14:29:08 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesMobileAppMenuItem"
"","199","userSeesCreateAccountBtnInWebPlatform()","","Tue Mar 31 14:29:09 UTC 2026","broken","Tue Mar 31 14:29:09 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesCreateAccountBtnInWebPlatform"
"","197","SeesCreateAccountBtnInWebPlatformWorks()","","Tue Mar 31 14:29:08 UTC 2026","broken","Tue Mar 31 14:29:09 UTC 2026","","ui.UITradingTest","ui.UITradingTest","SeesCreateAccountBtnInWebPlatformWorks"
"","5310","createAccountBtnOnWaysTradeBannerWorks()","","Tue Mar 31 14:29:02 UTC 2026","broken","Tue Mar 31 14:29:07 UTC 2026","","ui.UITradingTest","ui.UITradingTest","createAccountBtnOnWaysTradeBannerWorks"
"","199","userSeesWebPlatformMenuItem()","","Tue Mar 31 14:29:09 UTC 2026","broken","Tue Mar 31 14:29:09 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesWebPlatformMenuItem"
"","198","userSeesCreateAccountBtnOnWaysTradeBanner()","","Tue Mar 31 14:29:09 UTC 2026","broken","Tue Mar 31 14:29:10 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesCreateAccountBtnOnWaysTradeBanner"
"","200","userSeesLearnMoreLinkOFWebPlatformMenuItem()","","Tue Mar 31 14:29:07 UTC 2026","broken","Tue Mar 31 14:29:08 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesLearnMoreLinkOFWebPlatformMenuItem"
"","2000","validUserCanLoginTest()","","Tue Mar 31 14:29:00 UTC 2026","failed","Tue Mar 31 14:29:02 UTC 2026","","rest.ApiLoginTest","rest.ApiLoginTest","validUserCanLoginTest"
"","203","learnMoreLinkOFWebPlatformMenuItemWorks()","","Tue Mar 31 14:29:09 UTC 2026","broken","Tue Mar 31 14:29:09 UTC 2026","","ui.UITradingTest","ui.UITradingTest","learnMoreLinkOFWebPlatformMenuItemWorks"
"","202","tryDemoBtnWorks()","","Tue Mar 31 14:29:07 UTC 2026","broken","Tue Mar 31 14:29:07 UTC 2026","","ui.UITradingTest","ui.UITradingTest","tryDemoBtnWorks"
"","198","userSeesTryDemoAccountBtn()","","Tue Mar 31 14:29:09 UTC 2026","broken","Tue Mar 31 14:29:09 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesTryDemoAccountBtn"
"","198","userSeesWaysToTradeBanner()","","Tue Mar 31 14:29:08 UTC 2026","broken","Tue Mar 31 14:29:08 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesWaysToTradeBanner"
