"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","190","userSeesCreateAccountBtnInWebPlatform()","","Tue Mar 31 10:27:58 UTC 2026","broken","Tue Mar 31 10:27:58 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesCreateAccountBtnInWebPlatform"
"","193","userSeesWaysToTradeBanner()","","Tue Mar 31 10:27:57 UTC 2026","broken","Tue Mar 31 10:27:57 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesWaysToTradeBanner"
"","190","userSeesCreateAccountBtnOnWaysTradeBanner()","","Tue Mar 31 10:27:58 UTC 2026","broken","Tue Mar 31 10:27:58 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesCreateAccountBtnOnWaysTradeBanner"
"","192","tryDemoBtnWorks()","","Tue Mar 31 10:27:56 UTC 2026","broken","Tue Mar 31 10:27:56 UTC 2026","","ui.UITradingTest","ui.UITradingTest","tryDemoBtnWorks"
"","192","userCanOpenTradingPage()","","Tue Mar 31 10:27:57 UTC 2026","broken","Tue Mar 31 10:27:57 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userCanOpenTradingPage"
"","2184","validUserCanLoginTest()","","Tue Mar 31 10:27:48 UTC 2026","failed","Tue Mar 31 10:27:50 UTC 2026","","rest.ApiLoginTest","rest.ApiLoginTest","validUserCanLoginTest"
"","189","userSeesTryDemoAccountBtn()","","Tue Mar 31 10:27:58 UTC 2026","broken","Tue Mar 31 10:27:58 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesTryDemoAccountBtn"
"","192","userSeesLearnMoreLinkOFWebPlatformMenuItem()","","Tue Mar 31 10:27:56 UTC 2026","broken","Tue Mar 31 10:27:57 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesLearnMoreLinkOFWebPlatformMenuItem"
"","195","userCanLoginFromHomePage()","","Tue Mar 31 10:27:56 UTC 2026","broken","Tue Mar 31 10:27:56 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userCanLoginFromHomePage"
"","190","learnMoreLinkOFWebPlatformMenuItemWorks()","","Tue Mar 31 10:27:58 UTC 2026","broken","Tue Mar 31 10:27:58 UTC 2026","","ui.UITradingTest","ui.UITradingTest","learnMoreLinkOFWebPlatformMenuItemWorks"
"","191","userSeesMobileAppMenuItem()","","Tue Mar 31 10:27:57 UTC 2026","broken","Tue Mar 31 10:27:57 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesMobileAppMenuItem"
"","190","userSeesWebPlatformMenuItem()","","Tue Mar 31 10:27:58 UTC 2026","broken","Tue Mar 31 10:27:58 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesWebPlatformMenuItem"
"","191","SeesCreateAccountBtnInWebPlatformWorks()","","Tue Mar 31 10:27:57 UTC 2026","broken","Tue Mar 31 10:27:58 UTC 2026","","ui.UITradingTest","ui.UITradingTest","SeesCreateAccountBtnInWebPlatformWorks"
"","5735","createAccountBtnOnWaysTradeBannerWorks()","","Tue Mar 31 10:27:50 UTC 2026","broken","Tue Mar 31 10:27:56 UTC 2026","","ui.UITradingTest","ui.UITradingTest","createAccountBtnOnWaysTradeBannerWorks"
"","190","userSeesQrCodeOnMobileAppItem()","","Tue Mar 31 10:27:57 UTC 2026","broken","Tue Mar 31 10:27:57 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesQrCodeOnMobileAppItem"
