"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1680","userSeesCreateAccountBtnInWebPlatform()","","Tue Mar 31 21:39:41 UTC 2026","failed","Tue Mar 31 21:39:43 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesCreateAccountBtnInWebPlatform"
"","8612","tryDemoBtnWorks()","","Tue Mar 31 21:39:04 UTC 2026","broken","Tue Mar 31 21:39:13 UTC 2026","","ui.UITradingTest","ui.UITradingTest","tryDemoBtnWorks"
"","1556","userSeesWaysToTradeBanner()","","Tue Mar 31 21:39:16 UTC 2026","passed","Tue Mar 31 21:39:17 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesWaysToTradeBanner"
"","9303","createAccountBtnOnWaysTradeBannerWorks()","","Tue Mar 31 21:38:37 UTC 2026","broken","Tue Mar 31 21:38:47 UTC 2026","","ui.UITradingTest","ui.UITradingTest","createAccountBtnOnWaysTradeBannerWorks"
"","1890","userSeesMobileAppMenuItem()","","Tue Mar 31 21:39:17 UTC 2026","failed","Tue Mar 31 21:39:19 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesMobileAppMenuItem"
"","1248","userCanOpenTradingPage()","","Tue Mar 31 21:39:14 UTC 2026","passed","Tue Mar 31 21:39:16 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userCanOpenTradingPage"
"","1531","userSeesWebPlatformMenuItem()","","Tue Mar 31 21:39:40 UTC 2026","failed","Tue Mar 31 21:39:41 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesWebPlatformMenuItem"
"","1194","userSeesQrCodeOnMobileAppItem()","","Tue Mar 31 21:39:19 UTC 2026","passed","Tue Mar 31 21:39:20 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesQrCodeOnMobileAppItem"
"","8999","SeesCreateAccountBtnInWebPlatformWorks()","","Tue Mar 31 21:39:20 UTC 2026","broken","Tue Mar 31 21:39:29 UTC 2026","","ui.UITradingTest","ui.UITradingTest","SeesCreateAccountBtnInWebPlatformWorks"
"","1778","userSeesCreateAccountBtnOnWaysTradeBanner()","","Tue Mar 31 21:39:43 UTC 2026","failed","Tue Mar 31 21:39:45 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesCreateAccountBtnOnWaysTradeBanner"
"","2277","validUserCanLoginTest()","","Tue Mar 31 21:38:35 UTC 2026","failed","Tue Mar 31 21:38:37 UTC 2026","","rest.ApiLoginTest","rest.ApiLoginTest","validUserCanLoginTest"
"","1596","userSeesTryDemoAccountBtn()","","Tue Mar 31 21:39:38 UTC 2026","failed","Tue Mar 31 21:39:40 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesTryDemoAccountBtn"
"","8780","learnMoreLinkOFWebPlatformMenuItemWorks()","","Tue Mar 31 21:39:29 UTC 2026","broken","Tue Mar 31 21:39:38 UTC 2026","","ui.UITradingTest","ui.UITradingTest","learnMoreLinkOFWebPlatformMenuItemWorks"
"","17343","userCanLoginFromHomePage()","","Tue Mar 31 21:38:47 UTC 2026","broken","Tue Mar 31 21:39:04 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userCanLoginFromHomePage"
"","1546","userSeesLearnMoreLinkOFWebPlatformMenuItem()","","Tue Mar 31 21:39:13 UTC 2026","failed","Tue Mar 31 21:39:14 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesLearnMoreLinkOFWebPlatformMenuItem"
