"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8864","learnMoreLinkOFWebPlatformMenuItemWorks()","","Tue Mar 31 21:13:56 UTC 2026","broken","Tue Mar 31 21:14:05 UTC 2026","","ui.UITradingTest","ui.UITradingTest","learnMoreLinkOFWebPlatformMenuItemWorks"
"","17607","userCanLoginFromHomePage()","","Tue Mar 31 21:13:20 UTC 2026","broken","Tue Mar 31 21:13:38 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userCanLoginFromHomePage"
"","1997","userSeesLearnMoreLinkOFWebPlatformMenuItem()","","Tue Mar 31 21:13:40 UTC 2026","failed","Tue Mar 31 21:13:42 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesLearnMoreLinkOFWebPlatformMenuItem"
"","920","userSeesCreateAccountBtnInWebPlatform()","","Tue Mar 31 21:14:08 UTC 2026","passed","Tue Mar 31 21:14:09 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesCreateAccountBtnInWebPlatform"
"","15097","createAccountBtnOnWaysTradeBannerWorks()","","Tue Mar 31 21:13:05 UTC 2026","broken","Tue Mar 31 21:13:20 UTC 2026","","ui.UITradingTest","ui.UITradingTest","createAccountBtnOnWaysTradeBannerWorks"
"","957","userCanOpenTradingPage()","","Tue Mar 31 21:13:42 UTC 2026","passed","Tue Mar 31 21:13:43 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userCanOpenTradingPage"
"","1367","userSeesQrCodeOnMobileAppItem()","","Tue Mar 31 21:13:46 UTC 2026","passed","Tue Mar 31 21:13:48 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesQrCodeOnMobileAppItem"
"","1592","userSeesCreateAccountBtnOnWaysTradeBanner()","","Tue Mar 31 21:14:09 UTC 2026","failed","Tue Mar 31 21:14:11 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesCreateAccountBtnOnWaysTradeBanner"
"","8660","SeesCreateAccountBtnInWebPlatformWorks()","","Tue Mar 31 21:13:48 UTC 2026","broken","Tue Mar 31 21:13:56 UTC 2026","","ui.UITradingTest","ui.UITradingTest","SeesCreateAccountBtnInWebPlatformWorks"
"","2350","validUserCanLoginTest()","","Tue Mar 31 21:13:03 UTC 2026","failed","Tue Mar 31 21:13:05 UTC 2026","","rest.ApiLoginTest","rest.ApiLoginTest","validUserCanLoginTest"
"","1245","userSeesTryDemoAccountBtn()","","Tue Mar 31 21:14:05 UTC 2026","failed","Tue Mar 31 21:14:06 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesTryDemoAccountBtn"
"","2312","tryDemoBtnWorks()","","Tue Mar 31 21:13:38 UTC 2026","broken","Tue Mar 31 21:13:40 UTC 2026","","ui.UITradingTest","ui.UITradingTest","tryDemoBtnWorks"
"","1208","userSeesWaysToTradeBanner()","","Tue Mar 31 21:13:43 UTC 2026","passed","Tue Mar 31 21:13:44 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesWaysToTradeBanner"
"","2058","userSeesMobileAppMenuItem()","","Tue Mar 31 21:13:44 UTC 2026","failed","Tue Mar 31 21:13:46 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesMobileAppMenuItem"
"","1762","userSeesWebPlatformMenuItem()","","Tue Mar 31 21:14:06 UTC 2026","failed","Tue Mar 31 21:14:08 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesWebPlatformMenuItem"
