"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8543","learnMoreLinkOFWebPlatformMenuItemWorks()","","Tue Mar 31 19:57:22 UTC 2026","broken","Tue Mar 31 19:57:31 UTC 2026","","ui.UITradingTest","ui.UITradingTest","learnMoreLinkOFWebPlatformMenuItemWorks"
"","1566","userSeesTryDemoAccountBtn()","","Tue Mar 31 19:57:31 UTC 2026","failed","Tue Mar 31 19:57:32 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesTryDemoAccountBtn"
"","9211","tryDemoBtnWorks()","","Tue Mar 31 19:56:56 UTC 2026","broken","Tue Mar 31 19:57:05 UTC 2026","","ui.UITradingTest","ui.UITradingTest","tryDemoBtnWorks"
"","1332","userSeesCreateAccountBtnOnWaysTradeBanner()","","Tue Mar 31 19:57:36 UTC 2026","failed","Tue Mar 31 19:57:37 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesCreateAccountBtnOnWaysTradeBanner"
"","1612","userSeesCreateAccountBtnInWebPlatform()","","Tue Mar 31 19:57:34 UTC 2026","failed","Tue Mar 31 19:57:36 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesCreateAccountBtnInWebPlatform"
"","2229","validUserCanLoginTest()","","Tue Mar 31 19:56:41 UTC 2026","failed","Tue Mar 31 19:56:44 UTC 2026","","rest.ApiLoginTest","rest.ApiLoginTest","validUserCanLoginTest"
"","2136","userSeesLearnMoreLinkOFWebPlatformMenuItem()","","Tue Mar 31 19:57:05 UTC 2026","failed","Tue Mar 31 19:57:07 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesLearnMoreLinkOFWebPlatformMenuItem"
"","1852","userCanLoginFromHomePage()","","Tue Mar 31 19:56:54 UTC 2026","broken","Tue Mar 31 19:56:56 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userCanLoginFromHomePage"
"","10117","createAccountBtnOnWaysTradeBannerWorks()","","Tue Mar 31 19:56:44 UTC 2026","broken","Tue Mar 31 19:56:54 UTC 2026","","ui.UITradingTest","ui.UITradingTest","createAccountBtnOnWaysTradeBannerWorks"
"","1514","userSeesQrCodeOnMobileAppItem()","","Tue Mar 31 19:57:12 UTC 2026","passed","Tue Mar 31 19:57:14 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesQrCodeOnMobileAppItem"
"","1600","userCanOpenTradingPage()","","Tue Mar 31 19:57:07 UTC 2026","failed","Tue Mar 31 19:57:09 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userCanOpenTradingPage"
"","1601","userSeesWebPlatformMenuItem()","","Tue Mar 31 19:57:32 UTC 2026","failed","Tue Mar 31 19:57:34 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesWebPlatformMenuItem"
"","1538","userSeesMobileAppMenuItem()","","Tue Mar 31 19:57:11 UTC 2026","failed","Tue Mar 31 19:57:12 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesMobileAppMenuItem"
"","8567","SeesCreateAccountBtnInWebPlatformWorks()","","Tue Mar 31 19:57:14 UTC 2026","broken","Tue Mar 31 19:57:22 UTC 2026","","ui.UITradingTest","ui.UITradingTest","SeesCreateAccountBtnInWebPlatformWorks"
"","1960","userSeesWaysToTradeBanner()","","Tue Mar 31 19:57:09 UTC 2026","passed","Tue Mar 31 19:57:11 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesWaysToTradeBanner"
