"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2231","userSeesMobileAppMenuItem()","","Tue Mar 31 21:07:35 UTC 2026","failed","Tue Mar 31 21:07:37 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesMobileAppMenuItem"
"","1911","userSeesLearnMoreLinkOFWebPlatformMenuItem()","","Tue Mar 31 21:07:30 UTC 2026","failed","Tue Mar 31 21:07:32 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesLearnMoreLinkOFWebPlatformMenuItem"
"","8526","tryDemoBtnWorks()","","Tue Mar 31 21:07:22 UTC 2026","broken","Tue Mar 31 21:07:30 UTC 2026","","ui.UITradingTest","ui.UITradingTest","tryDemoBtnWorks"
"","8692","createAccountBtnOnWaysTradeBannerWorks()","","Tue Mar 31 21:06:56 UTC 2026","broken","Tue Mar 31 21:07:04 UTC 2026","","ui.UITradingTest","ui.UITradingTest","createAccountBtnOnWaysTradeBannerWorks"
"","2098","userSeesCreateAccountBtnInWebPlatform()","","Tue Mar 31 21:08:00 UTC 2026","failed","Tue Mar 31 21:08:02 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesCreateAccountBtnInWebPlatform"
"","17224","userCanLoginFromHomePage()","","Tue Mar 31 21:07:04 UTC 2026","broken","Tue Mar 31 21:07:22 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userCanLoginFromHomePage"
"","1121","userSeesQrCodeOnMobileAppItem()","","Tue Mar 31 21:07:37 UTC 2026","passed","Tue Mar 31 21:07:39 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesQrCodeOnMobileAppItem"
"","1911","userSeesTryDemoAccountBtn()","","Tue Mar 31 21:07:56 UTC 2026","failed","Tue Mar 31 21:07:58 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesTryDemoAccountBtn"
"","1898","userSeesCreateAccountBtnOnWaysTradeBanner()","","Tue Mar 31 21:08:02 UTC 2026","failed","Tue Mar 31 21:08:04 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesCreateAccountBtnOnWaysTradeBanner"
"","2410","validUserCanLoginTest()","","Tue Mar 31 21:06:53 UTC 2026","failed","Tue Mar 31 21:06:56 UTC 2026","","rest.ApiLoginTest","rest.ApiLoginTest","validUserCanLoginTest"
"","1844","userSeesWaysToTradeBanner()","","Tue Mar 31 21:07:33 UTC 2026","passed","Tue Mar 31 21:07:35 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesWaysToTradeBanner"
"","8994","SeesCreateAccountBtnInWebPlatformWorks()","","Tue Mar 31 21:07:39 UTC 2026","broken","Tue Mar 31 21:07:48 UTC 2026","","ui.UITradingTest","ui.UITradingTest","SeesCreateAccountBtnInWebPlatformWorks"
"","8910","learnMoreLinkOFWebPlatformMenuItemWorks()","","Tue Mar 31 21:07:48 UTC 2026","broken","Tue Mar 31 21:07:56 UTC 2026","","ui.UITradingTest","ui.UITradingTest","learnMoreLinkOFWebPlatformMenuItemWorks"
"","1247","userCanOpenTradingPage()","","Tue Mar 31 21:07:32 UTC 2026","passed","Tue Mar 31 21:07:33 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userCanOpenTradingPage"
"","1829","userSeesWebPlatformMenuItem()","","Tue Mar 31 21:07:58 UTC 2026","failed","Tue Mar 31 21:08:00 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesWebPlatformMenuItem"
