"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17491","userCanLoginFromHomePage()","","Tue Mar 31 21:15:22 UTC 2026","broken","Tue Mar 31 21:15:39 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userCanLoginFromHomePage"
"","2298","validUserCanLoginTest()","","Tue Mar 31 21:15:09 UTC 2026","failed","Tue Mar 31 21:15:11 UTC 2026","","rest.ApiLoginTest","rest.ApiLoginTest","validUserCanLoginTest"
"","8614","learnMoreLinkOFWebPlatformMenuItemWorks()","","Tue Mar 31 21:16:05 UTC 2026","broken","Tue Mar 31 21:16:13 UTC 2026","","ui.UITradingTest","ui.UITradingTest","learnMoreLinkOFWebPlatformMenuItemWorks"
"","1492","userCanOpenTradingPage()","","Tue Mar 31 21:15:50 UTC 2026","passed","Tue Mar 31 21:15:51 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userCanOpenTradingPage"
"","1558","userSeesCreateAccountBtnOnWaysTradeBanner()","","Tue Mar 31 21:16:19 UTC 2026","failed","Tue Mar 31 21:16:20 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesCreateAccountBtnOnWaysTradeBanner"
"","9191","SeesCreateAccountBtnInWebPlatformWorks()","","Tue Mar 31 21:15:56 UTC 2026","broken","Tue Mar 31 21:16:05 UTC 2026","","ui.UITradingTest","ui.UITradingTest","SeesCreateAccountBtnInWebPlatformWorks"
"","1927","userSeesLearnMoreLinkOFWebPlatformMenuItem()","","Tue Mar 31 21:15:48 UTC 2026","failed","Tue Mar 31 21:15:50 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesLearnMoreLinkOFWebPlatformMenuItem"
"","1514","userSeesTryDemoAccountBtn()","","Tue Mar 31 21:16:13 UTC 2026","failed","Tue Mar 31 21:16:15 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesTryDemoAccountBtn"
"","1824","userSeesMobileAppMenuItem()","","Tue Mar 31 21:15:53 UTC 2026","failed","Tue Mar 31 21:15:55 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesMobileAppMenuItem"
"","1135","userSeesQrCodeOnMobileAppItem()","","Tue Mar 31 21:15:55 UTC 2026","passed","Tue Mar 31 21:15:56 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesQrCodeOnMobileAppItem"
"","1494","userSeesWaysToTradeBanner()","","Tue Mar 31 21:15:51 UTC 2026","passed","Tue Mar 31 21:15:53 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesWaysToTradeBanner"
"","8780","tryDemoBtnWorks()","","Tue Mar 31 21:15:39 UTC 2026","broken","Tue Mar 31 21:15:48 UTC 2026","","ui.UITradingTest","ui.UITradingTest","tryDemoBtnWorks"
"","10509","createAccountBtnOnWaysTradeBannerWorks()","","Tue Mar 31 21:15:11 UTC 2026","broken","Tue Mar 31 21:15:21 UTC 2026","","ui.UITradingTest","ui.UITradingTest","createAccountBtnOnWaysTradeBannerWorks"
"","1779","userSeesWebPlatformMenuItem()","","Tue Mar 31 21:16:15 UTC 2026","failed","Tue Mar 31 21:16:17 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesWebPlatformMenuItem"
"","1834","userSeesCreateAccountBtnInWebPlatform()","","Tue Mar 31 21:16:17 UTC 2026","failed","Tue Mar 31 21:16:19 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesCreateAccountBtnInWebPlatform"
