"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1522","userCanOpenTradingPage()","","Tue Mar 31 08:19:38 UTC 2026","failed","Tue Mar 31 08:19:40 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userCanOpenTradingPage"
"","1566","userSeesQrCodeOnMobileAppItem()","","Tue Mar 31 08:19:43 UTC 2026","passed","Tue Mar 31 08:19:45 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesQrCodeOnMobileAppItem"
"","1479","userSeesWebPlatformMenuItem()","","Tue Mar 31 08:20:03 UTC 2026","failed","Tue Mar 31 08:20:05 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesWebPlatformMenuItem"
"","1541","userSeesLearnMoreLinkOFWebPlatformMenuItem()","","Tue Mar 31 08:19:37 UTC 2026","failed","Tue Mar 31 08:19:38 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesLearnMoreLinkOFWebPlatformMenuItem"
"","2294","validUserCanLoginTest()","","Tue Mar 31 08:19:00 UTC 2026","failed","Tue Mar 31 08:19:03 UTC 2026","","rest.ApiLoginTest","rest.ApiLoginTest","validUserCanLoginTest"
"","1528","userSeesMobileAppMenuItem()","","Tue Mar 31 08:19:41 UTC 2026","failed","Tue Mar 31 08:19:43 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesMobileAppMenuItem"
"","1482","userSeesWaysToTradeBanner()","","Tue Mar 31 08:19:40 UTC 2026","passed","Tue Mar 31 08:19:41 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesWaysToTradeBanner"
"","8751","SeesCreateAccountBtnInWebPlatformWorks()","","Tue Mar 31 08:19:45 UTC 2026","broken","Tue Mar 31 08:19:53 UTC 2026","","ui.UITradingTest","ui.UITradingTest","SeesCreateAccountBtnInWebPlatformWorks"
"","10411","createAccountBtnOnWaysTradeBannerWorks()","","Tue Mar 31 08:19:03 UTC 2026","broken","Tue Mar 31 08:19:13 UTC 2026","","ui.UITradingTest","ui.UITradingTest","createAccountBtnOnWaysTradeBannerWorks"
"","1467","userSeesCreateAccountBtnOnWaysTradeBanner()","","Tue Mar 31 08:20:06 UTC 2026","failed","Tue Mar 31 08:20:08 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesCreateAccountBtnOnWaysTradeBanner"
"","8583","learnMoreLinkOFWebPlatformMenuItemWorks()","","Tue Mar 31 08:19:53 UTC 2026","broken","Tue Mar 31 08:20:02 UTC 2026","","ui.UITradingTest","ui.UITradingTest","learnMoreLinkOFWebPlatformMenuItemWorks"
"","1502","userSeesCreateAccountBtnInWebPlatform()","","Tue Mar 31 08:20:05 UTC 2026","failed","Tue Mar 31 08:20:06 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesCreateAccountBtnInWebPlatform"
"","1441","userSeesTryDemoAccountBtn()","","Tue Mar 31 08:20:02 UTC 2026","failed","Tue Mar 31 08:20:03 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesTryDemoAccountBtn"
"","21414","userCanLoginFromHomePage()","","Tue Mar 31 08:19:13 UTC 2026","broken","Tue Mar 31 08:19:34 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userCanLoginFromHomePage"
"","2483","tryDemoBtnWorks()","","Tue Mar 31 08:19:34 UTC 2026","broken","Tue Mar 31 08:19:37 UTC 2026","","ui.UITradingTest","ui.UITradingTest","tryDemoBtnWorks"
