"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","227","userCanLoginFromHomePage()","","Wed Mar 25 21:32:05 UTC 2026","broken","Wed Mar 25 21:32:05 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userCanLoginFromHomePage"
"","201","userCanOpenTradingPage()","","Wed Mar 25 21:32:06 UTC 2026","broken","Wed Mar 25 21:32:06 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userCanOpenTradingPage"
"","201","userSeesWaysToTradeBanner()","","Wed Mar 25 21:32:06 UTC 2026","broken","Wed Mar 25 21:32:06 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesWaysToTradeBanner"
"","203","userSeesLearnMoreLinkOFWebPlatformMenuItem()","","Wed Mar 25 21:32:05 UTC 2026","broken","Wed Mar 25 21:32:06 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesLearnMoreLinkOFWebPlatformMenuItem"
"","201","userSeesWebPlatformMenuItem()","","Wed Mar 25 21:32:07 UTC 2026","broken","Wed Mar 25 21:32:07 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesWebPlatformMenuItem"
"","201","userSeesMobileAppMenuItem()","","Wed Mar 25 21:32:06 UTC 2026","broken","Wed Mar 25 21:32:06 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesMobileAppMenuItem"
"","2227","validUserCanLoginTest()","","Wed Mar 25 21:32:08 UTC 2026","failed","Wed Mar 25 21:32:10 UTC 2026","","rest.ApiLoginTest","rest.ApiLoginTest","validUserCanLoginTest"
"","201","userSeesCreateAccountBtnInWebPlatform()","","Wed Mar 25 21:32:07 UTC 2026","broken","Wed Mar 25 21:32:07 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesCreateAccountBtnInWebPlatform"
"","199","learnMoreLinkOFWebPlatformMenuItemWorks()","","Wed Mar 25 21:32:07 UTC 2026","broken","Wed Mar 25 21:32:07 UTC 2026","","ui.UITradingTest","ui.UITradingTest","learnMoreLinkOFWebPlatformMenuItemWorks"
"","201","userSeesQrCodeOnMobileAppItem()","","Wed Mar 25 21:32:06 UTC 2026","broken","Wed Mar 25 21:32:06 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesQrCodeOnMobileAppItem"
"","203","userSeesCreateAccountBtnOnWaysTradeBanner()","","Wed Mar 25 21:32:07 UTC 2026","broken","Wed Mar 25 21:32:08 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesCreateAccountBtnOnWaysTradeBanner"
"","9084","createAccountBtnOnWaysTradeBannerWorks()","","Wed Mar 25 21:31:56 UTC 2026","broken","Wed Mar 25 21:32:05 UTC 2026","","ui.UITradingTest","ui.UITradingTest","createAccountBtnOnWaysTradeBannerWorks"
"","201","userSeesTryDemoAccountBtn()","","Wed Mar 25 21:32:07 UTC 2026","broken","Wed Mar 25 21:32:07 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesTryDemoAccountBtn"
"","207","SeesCreateAccountBtnInWebPlatformWorks()","","Wed Mar 25 21:32:06 UTC 2026","broken","Wed Mar 25 21:32:07 UTC 2026","","ui.UITradingTest","ui.UITradingTest","SeesCreateAccountBtnInWebPlatformWorks"
"","206","tryDemoBtnWorks()","","Wed Mar 25 21:32:05 UTC 2026","broken","Wed Mar 25 21:32:05 UTC 2026","","ui.UITradingTest","ui.UITradingTest","tryDemoBtnWorks"
