"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1423","userSeesLearnMoreLinkOFWebPlatformMenuItem()","","Tue Mar 31 20:07:17 UTC 2026","failed","Tue Mar 31 20:07:18 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesLearnMoreLinkOFWebPlatformMenuItem"
"","1771","userCanOpenTradingPage()","","Tue Mar 31 20:07:18 UTC 2026","failed","Tue Mar 31 20:07:20 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userCanOpenTradingPage"
"","8851","SeesCreateAccountBtnInWebPlatformWorks()","","Tue Mar 31 20:07:24 UTC 2026","broken","Tue Mar 31 20:07:33 UTC 2026","","ui.UITradingTest","ui.UITradingTest","SeesCreateAccountBtnInWebPlatformWorks"
"","14626","createAccountBtnOnWaysTradeBannerWorks()","","Tue Mar 31 20:06:37 UTC 2026","broken","Tue Mar 31 20:06:51 UTC 2026","","ui.UITradingTest","ui.UITradingTest","createAccountBtnOnWaysTradeBannerWorks"
"","1347","userSeesTryDemoAccountBtn()","","Tue Mar 31 20:07:36 UTC 2026","failed","Tue Mar 31 20:07:37 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesTryDemoAccountBtn"
"","1860","userSeesMobileAppMenuItem()","","Tue Mar 31 20:07:21 UTC 2026","failed","Tue Mar 31 20:07:23 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesMobileAppMenuItem"
"","2375","learnMoreLinkOFWebPlatformMenuItemWorks()","","Tue Mar 31 20:07:33 UTC 2026","broken","Tue Mar 31 20:07:36 UTC 2026","","ui.UITradingTest","ui.UITradingTest","learnMoreLinkOFWebPlatformMenuItemWorks"
"","1334","userSeesWaysToTradeBanner()","","Tue Mar 31 20:07:20 UTC 2026","passed","Tue Mar 31 20:07:21 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesWaysToTradeBanner"
"","8896","tryDemoBtnWorks()","","Tue Mar 31 20:07:08 UTC 2026","broken","Tue Mar 31 20:07:17 UTC 2026","","ui.UITradingTest","ui.UITradingTest","tryDemoBtnWorks"
"","16551","userCanLoginFromHomePage()","","Tue Mar 31 20:06:51 UTC 2026","broken","Tue Mar 31 20:07:08 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userCanLoginFromHomePage"
"","1742","userSeesCreateAccountBtnOnWaysTradeBanner()","","Tue Mar 31 20:07:40 UTC 2026","failed","Tue Mar 31 20:07:42 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesCreateAccountBtnOnWaysTradeBanner"
"","1283","userSeesQrCodeOnMobileAppItem()","","Tue Mar 31 20:07:23 UTC 2026","passed","Tue Mar 31 20:07:24 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesQrCodeOnMobileAppItem"
"","1346","userSeesCreateAccountBtnInWebPlatform()","","Tue Mar 31 20:07:38 UTC 2026","failed","Tue Mar 31 20:07:40 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesCreateAccountBtnInWebPlatform"
"","2219","validUserCanLoginTest()","","Tue Mar 31 20:06:34 UTC 2026","failed","Tue Mar 31 20:06:37 UTC 2026","","rest.ApiLoginTest","rest.ApiLoginTest","validUserCanLoginTest"
"","1392","userSeesWebPlatformMenuItem()","","Tue Mar 31 20:07:37 UTC 2026","failed","Tue Mar 31 20:07:38 UTC 2026","","ui.UITradingTest","ui.UITradingTest","userSeesWebPlatformMenuItem"
